IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet
CAP-0000-0102,CC0603KRX7R9BB102,Yageo,0.001uF 50V 0603 X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,0.001uF,50V,X7R,10%,https://datasheet.lcsc.com/lcsc/2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf
CAP-0000-0103,CC0603KRX7R9BB103,Yageo,0.01uF 50V 0603 X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,0.01uF,50V,X7R,10%,https://datasheet.lcsc.com/lcsc/2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf
CAP-0000-0104,CC0603KRX7R9BB104,Yageo,0.1uF 50V 0603 X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,0.1uF,50V,X7R,10%,https://datasheet.lcsc.com/lcsc/2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf
CAP-0000-0104,GCM188R71H104KA57D,Murata Electronics North America,0.1uF 50V 0603 X7R,Device:C,Capacitor_SMD:C_0603_1608Metric,0.1uF,50V,X7R,10%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H104KA57-01.pdf
CAP-0001-0105,CL10A105KB8NNNC,Samsung,1uF 50V 0603 X5R,Device:C,Capacitor_SMD:C_0603_1608Metric,1uF,50V,X5R,10%,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf
CAP-0002-0475,C1206C475K5PACTU,Kemet,4.7uF 50V 1206 X5R,Device:C,Capacitor_SMD:C_1206_3216Metric,4.7uF,50V,X5R,10%,https://media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/C1206C475K5PAC.pdf
CAP-0003-0107,A700D107M006ATE018,Kemet,100uF 6.3V ALU POLY  7343-31,Device:C_Polarized_US,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D,100uF,6.3V,TANT POLY,20%,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/A700D107M006ATE018
CAP-0003-0157,T598V157M010ATE025,KEMET,150uF 10V EIA-7343-31 TANT POLY,Device:C_Polarized_US,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D,150uF,10V,TANT_POLY,20%,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/T598V157M010ATE025
CAP-0003-220M,10TPB220M,Panasonic,220uF 10V Tant,Device:C_Polarized_US,Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D,220uF,10V,Tant,20%,https://www.mouser.com/datasheet/2/315/AAA8000C65-1150039.pdf
CAP-0004-0107,LMK325BJ107MM-T,Taiyo Yuden,100uF 10V 1210 X5R,Device:C,Capacitor_SMD:C_1210_3225Metric,100uF,10V,X5R,20%,https://www.mouser.com/datasheet/2/396/mlcc02_e-1307760.pdf
CAP-0005-0227,SCCY68B407SSBLE,AVX,220F Supercap,Device:C_Polarized_US,g-cap:CX50B227,220F,2.7V,Elec,30%,https://www.mouser.com/datasheet/2/40/AVX_SCC_LE-3084833.pdf
CAP-0005-0407,SCCY68B407SSBLE,AVX,400F Supercap,Device:C_Polarized_US,g-cap:CY68B407,400F,2.7V,Elec,30%,https://www.mouser.com/datasheet/2/40/AVX_SCC_LE-3084833.pdf
CAP-0006-04R7,6035A4R7KAT2A,AVX,4.7pF 50V 0603 COG,Device:C,Capacitor_SMD:C_0603_1608Metric,4.7pF,50V,COG,10%,https://www.mouser.com/datasheet/2/40/C0GNP0_Dielectric-2952720.pdf
CAP-0007-0104,C0402C104K4RAC7867,Kemet Electronics,0.1uF 16V 0402 X7R,Device:C,Capacitor_SMD:C_0402_1005Metric,0.1uF,16V,X7R,10%,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0402C104K4RACTU
CAP-0008-0104,CGA4J2X7R2A104K125AA,TDK Corporation,0.1uF 100V 0805 X7R,Device:C,Capacitor_SMD:C_0805:2012Metric,0.1uF,100V,X7R,10%,https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf
CAP-0009-0106,GRM31MR61E106MA12L,Murata Electronics North America,10uF 25V 1206 X5R,Device:C,Capacitor_SMD:C_1206_3216Metric,10uF,25V,X5R,20%,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31MR61E106MA12-01.pdf
