IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet
CPD-0001-0005,D5V0L1B2S9-7,Diodes Inc.,"Bi-dir TVS Diode, 5V",Device:D_TVS_Filled,Diode_SMD:D_SOD-923,https://www.diodes.com/assets/Datasheets/D5V0L1B2S9.pdf
CPD-0002-0005,ESD9101P2T5G,On Semiconductor,"ESD Diode, 5V",g-cpd:D_ESD,Diode_SMD:D_SOD-923,https://www.onsemi.com/pdf/datasheet/esd9101-d.pdf
CPD-0003-01R1,SMD100F-2,Littelfuse Inc.,PTC RESET FUSE 30V 1.1A 2SMD,Device:Polyfuse,g-cpd:RAYCHEM_SMD100F,https://www.littelfuse.com/~/media/electronics/product_specifications/resettable_ptcs/littelfuse_ptc_smd100f_2_product_specification.pdf.pdf
CPD-0004-0030,V30MLA0603NH,Littelfuse Inc.,VARISTOR 41.5V 30A 0603,Device:Varistor,Capacitor_SMD:C_0603_1608Metric;C_0603_1608Metric_Pad1.08x095mm_HandSolder,https://www.littelfuse.com/media?resourcetype=datasheets&itemid=7092c93f-7453-48dd-8345-d10368b54a20&filename=littelfuse_varistor_mla_datasheet.pdf
CPD-0005-0005,RClamp3654P.TCT,Semtech Corporation,TVS DIODE 5.5VWM 30VC SLP1616P6,g-cpd:IC_USB_ESD_CLAMP2,g-cpd:SLP1616P6_SEM,https://semtech.my.salesforce.com/sfc/p/E0000000JelG/a/44000000MCXN/wh6ib8C76Sfz_._po4NLxIgDm.uk2W3aErWuo281nzw
CPD-0006-0058,SMAJ58A,Littelfuse Inc.,TVS DIODE 58VWM 93.6VC DO214AC,g-cpd:D_ESD,Diode_SMD:D_SMA;D_SMA_Handsoldering,https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smaj_datasheet.pdf.pdf
CPD-0007-0014,PESD0402-140,Littelfuse Inc.,TVS DIODE 14VWM 40VC 0402,Device:D_TVS_Filled,Diode_SMD:D_0402_1005Metric;D_0402_1005MetricPad0.74x0.62_HandSolder,https://www.littelfuse.com/media?resourcetype=datasheets&itemid=5186ff3a-844f-4b9e-926a-f506c7d3d551&filename=littelfuse-polymer-esd-suppressor-pesd-catalog-datasheet
CPD-0008-0058,P0640SALRP,Littelfuse Inc.,THYRISTOR 58V 150A DO214AA,g-cpd:TVS_P0640SALRP,Diode_SMD:D_SMB,https://www.littelfuse.com/~/media/electronics/datasheets/sidactors/littelfuse_sidactor_do_214_datasheet.pdf.pdf
CPD-0009-0058,SMCJ58CA,Littelfuse Inc.,TVS DIODE 58VWM 93.6VC DO214AB,Device:D_TVS_Filled,Diode_SMD:D_SMC,https://www.littelfuse.com/media?resourcetype=datasheets&itemid=37388813-0d6d-4329-969b-1aa8b7614ac1&filename=littelfuse_tvs_diode_smcj_datasheet.pdf
CPD-0010-03R6,TPD4E02B04QDQARQ1,Texas Instruments,TVS DIODE 3.6VWM 8.8VC 10USON,g-cpd:TVS_TPD4E02B04QDQARQ1,g-cpd:DQA0010A,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4e02b04-q1
CPD-0011-0001,LTC4364HDE-2#TRPBF,Analog Devices Inc.,SURGE STOPPER W/DIODE 14DFN,g-cpd:IC_LTC4364,Package_DFN_QFN:DFN-14-1EP_3x4mm_P0.5mm_EP1.7x3.3mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ltc4364-1-4364-2.pdf
CPD-0012-0001,RCLAMP01211ZCFT,Semtech Corporation,Clamp Ipp Tvs Diode Surface Mount 2-DFN (0.6x0.3),Device:D_TVS_Filled,g-cpd:DFN-0.060X0.030_Semtech,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6350/RCLAMP01211ZCFT.pdf
CPD-0013-0001,PESD2V8R1BSFYL,Nexperia USA Inc.,5V Clamp 4.5A (8/20µA) Ipp Tvs Diode Surface Mount DSN0603-2,Device:D_TVS_Filled,Diode_SMD:Nexperia_DSN0603-2_0.6x0.3mm_P0.4mm,https://assets.nexperia.com/documents/data-sheet/PESD2V8R1BSF.pdf
