IPN,MPN,Manufacturer,Description,Symbol,Footprint,Inductance,Current,Datasheet
IND-0000-0104,ETQP5M220YFM,Panasonic,3A 22uH SMD,Device:L,g-ind:ETQP5M_YFM,22uH,3.7A,https://datasheet.lcsc.com/lcsc/1912111437_PANASONIC-ETQP5M220YFM_C409635.pdf
IND-0000-04R7,ETQP5M4R7YFM,Panasonic,6.3A 4.7uH SMD,Device:L,g-ind:ETQP5M_YFM,4.7uH,8.0A,https://datasheet.lcsc.com/lcsc/1912111437_PANASONIC-ETQP5M220YFM_C409635.pdf
IND-0001-0001,EXC-14CH120U,Panasonic,"Common mode choke, 12ohm @ 100MHz",Device:L_Ferrite_Coupled_Small_1423,g-ind:FIL_EXC-14CH120U,,100mA,https://industrial.panasonic.com/cdbs/www-data/pdf/AWE0000/AWE0000C264.pdf
IND-0002-0900,DLP11SA900HL2,"Murata Manufacturing Co., Ltd.","Inductor/Filter: Choke, Common Mode, 90 Ohm, 150mA, 0504",g-ind:Filter_EMI_LL_1234,g-ind:MURATA_CHOKE(DLP11S),90ohms,150mA,https://www.murata.com/~/media/webrenewal/products/emiconfun/mail/2011/09/28/en-20110928/l0114s0129dlp11.ashx
IND-0003-0121,BLM18PG121SN1D,"Murata Manufacturing Co., Ltd.","Inductor/Filter: Ferrite Bead, 120 Ohm @ 100MHz, 2A, 0603",Device:FerriteBead_Small,Inductor_SMD:L_0603_1608Metric;L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120ohms,2A,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf
IND-0004-0221,BLM21PG221SN1D,"Murata Manufacturing Co., Ltd.","Inductor/Filter: Ferrite Bead, 220 Ohm @ 100MHz, 2A, 0805",Device:FerriteBead_Small,Inductor_SMD:L_0805_2012Metric;L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,220ohms,2A,https://www.murata.com/en-us/products/en-us/products/productdata/8796738977822/ENFA0005.pdf
IND-0005-047n,LQG15HS47NG02D,"Murata Manufacturing Co., Ltd.",47nH Unshielded Multilayer Inductor 300mA 720mOhm Max 0402 (1005 Metric),Device:L,Inductor_SMD:L_0402_1005Metric;L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,47nH,300mA,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243B-0010.pdf
IND-0006-0601,BLM18AG601SH1D,"Murata Manufacturing Co., Ltd.",600 Ohms @ 100 MHz 1 Ferrite Bead 0603 (1608 Metric) 500mA 380mOhm,Device:FerriteBead_Small,Inductor_SMD:L_0603_1608Metric;L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,600ohms,500mA,https://www.murata.com/en-us/products/productdata/8796737273886/QNFA9101.pdf
IND-0007-06R5,744314650,Würth Elektronik,FIXED IND 6.5UH 6A 21.5 MOHM SMD,Device:L,g-ind:IND_7050-WE-HCI_WRE;IND_7050-WE-HCI_WRE-M;IND_7050-WE-HCI_WRE-L,6.5uH,6A,https://www.we-online.com/katalog/datasheet/744314650.pdf
IND-0008-0101,DO1608C-104MLC,Coilcraft,FIXED IND 100UH 500MA 1.27OHM SM,Device:L,g-ind:Coilcraft_DO1608C,100uH,500mA,https://www.coilcraft.com/en-us/files/datasheet/DO1608C
